"Column_1","Column_2","Column_3","Column_4","Column_5","Column_6","Column_7","Column_8","Column_9","Column_10","Column_11"
10,9.01759,8.9773,9.02472,9.03616,9.05257,9.00121,9.00361,8.98826,9.05866,9.05982
6,9.00974,8.95902,9.0265,8.97163,9.04754,9.05096,*,*,*,*
10,8.97809,8.98972,8.97877,9.01464,9.00623,8.98055,9.00877,9.03749,8.9614,9.00595
8,9.04504,8.99329,8.99112,9.01239,8.9785,8.97543,8.97958,9.02115,*,*
10,9.04544,8.95615,9.00747,8.99861,8.99077,9.03892,8.98887,8.98418,9.01795,9.01016
7,8.98229,9.02346,8.98103,8.97341,8.96475,9.00518,8.99561,*,*,*
8,9.02982,9.00707,9.00735,8.96042,8.97471,8.9489,8.99009,9.0205,*,*
9,9.01322,8.99716,8.98482,8.9289,9.03727,8.96801,9.02173,8.98401,8.95438,*
7,8.99775,9.02773,8.99505,9.0082,9.03221,8.94485,8.98242,*,*,*
10,8.9814,8.99443,8.99374,9.05063,9.00155,9.03501,9.0467,9.03164,9.04678,9.00865
6,8.94018,9.0638,8.97868,9.01246,8.9687,8.99593,*,*,*,*
9,8.96117,9.0042,9.0241,9.06514,8.97921,9.02223,8.98201,9.02577,8.94999,*
8,9.02374,8.99673,8.96257,8.99945,9.01848,9.0277,9.02901,9.00383,*,*
10,8.94363,9.00214,8.97526,8.98661,9.0204,9.02238,8.96735,8.99283,9.02029,9.01754
6,8.99341,9.02318,8.96106,9.00023,9.01309,8.95582,*,*,*,*
10,9.02781,9.02093,8.97963,8.98019,9.01428,9.03871,9.03058,9.01304,9.06247,9.00215
7,8.96783,8.94662,9.02595,9.07156,9.02688,8.96584,8.99007,*,*,*
6,8.98993,8.97726,8.97231,8.93709,8.97035,8.96499,*,*,*,*
8,8.95677,9,8.98083,8.97502,8.9308,8.9469,8.98951,8.96032,*,*
10,9.01965,9.00524,9.02506,8.99299,8.95167,8.98578,9.03979,9.00742,8.99202,9.01492
5,8.97892,8.98553,9.01042,8.97291,9.01599,*,*,*,*,*
7,8.99523,9.00044,9.02239,8.9399,8.96644,8.99666,8.96103,*,*,*
10,9.05596,9.02182,8.94953,9.03914,8.97235,9.00869,9.01031,9.01371,8.99326,9.03646
8,9.03412,8.97335,9.00136,9.08037,9.04301,8.97701,9.02727,9.03449,*,*
10,9.00277,9.00651,9.02906,8.97863,8.99956,8.99291,8.97211,9.02725,8.97847,9.0371
